update,group_count,group_rewards,group_variances,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_variance_group_count,zero_variance_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction
96,4,"[[0.2, 0.2, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.15, 0.15], [0.15, 0.2, 0.2, 0.2]]","[0.12, 0.0, 0.0006250000000000004, 0.0004687500000000003]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
97,4,"[[0.2, 0.2, 0.15, 0.2], [0.2, 0.2, 0.15, 0.0], [0.2, 0.0, 0.2, 0.2], [0.0, 0.2, 0.2, 0.2]]","[0.0004687500000000003, 0.006718750000000001, 0.007500000000000001, 0.007500000000000001]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
98,4,"[[1.0, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 0.2, 1.0]]","[0.12, 0.0, 0.0, 0.12]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
99,4,"[[0.1, 0.1, 0.1, 0.1], [1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.0, 0.0, 0.0]",0,0.0,4,1.0,1,0.25,4,1.0,4,1.0
100,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 1.0, 0.2], [1.0, 1.0, 1.0, 0.2]]","[0.0, 0.0, 0.16, 0.12]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
101,4,"[[0.1, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2]]","[0.0018750000000000001, 0.0, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
102,4,"[[0.2, 0.2, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 1.0, 0.2], [0.0, 0.2, 1.0, 0.2]]","[0.12, 0.0, 0.16, 0.1475]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
103,4,"[[0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [0.1, 0.1, 0.1, 0.1], [0.2, 0.2, 0.15, 1.0]]","[0.0, 0.0, 0.0, 0.12546875]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
104,4,"[[0.2, 0.1, 0.2, 1.0], [1.0, 1.0, 0.0, 1.0], [0.0, 0.2, 0.0, 0.2], [0.0, 0.2, 0.2, 0.0]]","[0.131875, 0.1875, 0.010000000000000002, 0.010000000000000002]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
105,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.1, 0.2, 0.0], [1.0, 0.0, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.006875000000000001, 0.2075, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
106,4,"[[0.0, 0.0, 0.2, 0.15], [0.2, 0.2, 0.15, 0.2], [1.0, 0.0, 1.0, 0.2], [0.0, 0.2, 0.2, 0.2]]","[0.00796875, 0.0004687500000000003, 0.2075, 0.007500000000000001]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
107,4,"[[1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 1.0, 0.2], [0.2, 0.15, 0.2, 0.2], [1.0, 0.15, 0.15, 1.0]]","[0.0, 0.12, 0.0004687500000000003, 0.180625]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
108,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.0], [1.0, 1.0, 1.0, 1.0]]","[0.0, 0.0, 0.007500000000000001, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
109,4,"[[0.2, 0.2, 0.2, 1.0], [0.2, 0.2, 0.1, 0.1], [1.0, 1.0, 1.0, 1.0], [0.2, 0.0, 0.2, 0.0]]","[0.12, 0.0025000000000000005, 0.0, 0.010000000000000002]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
110,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.0, 0.2, 0.0], [1.0, 1.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.010000000000000002, 0.12, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
111,4,"[[1.0, 0.2, 1.0, 0.2], [0.15, 0.15, 0.15, 1.0], [1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 0.2, 0.2]]","[0.16, 0.13546875, 0.0, 0.1475]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
112,4,"[[1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.2, 0.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.15, 0.2, 0.2]]","[0.0, 0.007500000000000001, 0.0, 0.0004687500000000003]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
113,4,"[[0.2, 0.2, 0.2, 0.15], [0.15, 0.15, 0.2, 0.15], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 1.0]]","[0.0004687500000000003, 0.0004687500000000003, 0.0, 0.12]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
