update,optimizer_step,global_step,microsteps,cumulative_completions,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,canonical_pass_rate,format_accuracy,valid_answer_rate,parseable_rate,loss,total_loss,entropy,entropy_raw_metric_key,grad_norm,grad_norm_available,learning_rate,kl,kl_available,kl_unavailable_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,completion_length_mean,eos_rate,truncation_rate,completion_duplicate_rate,unique_completion_rate,zero_advantage_group_count,zero_advantage_fraction
22,22,22,88,352,1460,32422,0.30625,0.3381359748680995,0.1143359375,0.1875,0.9375,0.625,0.625,0.0073,0.0073,0.22585102915763855,entropy,0.4500589668750763,True,8.359375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,91.25,1.0,0.0,0.0,1.0,2,0.5
23,23,23,92,368,1414,33836,0.246875,0.19483065563457924,0.037958984375,0.0625,0.9375,1.0,0.9375,0.0091,0.0091,0.2580060176551342,entropy,0.27172115445137024,True,8.281250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,88.375,1.0,0.0,0.0,1.0,3,0.75
24,24,24,96,384,1361,35197,0.40625,0.4022883760438524,0.1618359375,0.3125,1.0,0.5625,0.5625,-0.0031,-0.0031,0.296293668448925,entropy,0.34619125723838806,True,8.203125000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,85.0625,1.0,0.0,0.0,1.0,2,0.5
25,25,25,100,400,1782,36979,0.53125,0.4726504390138657,0.2233984375,0.5,0.6875,0.625,0.625,0.2233,0.2233,0.22270473837852478,entropy,0.9506562352180481,True,8.125000000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,111.375,0.8125,0.1875,0.0,1.0,0,0.0
26,26,26,104,416,1243,38222,0.375,0.36314597615834876,0.131875,0.25,1.0,0.75,0.75,0.0176,0.0176,0.24172842502593994,entropy,0.4032679796218872,True,8.046875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,77.6875,1.0,0.0,0.0,1.0,1,0.25
27,27,27,108,432,1651,39873,0.528125,0.4175706339950165,0.17436523437499998,0.4375,0.9375,0.8125,0.75,-0.0529,-0.0529,0.1904408112168312,entropy,0.7886598110198975,True,7.96875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,103.1875,1.0,0.0,0.0,1.0,0,0.0
28,28,28,112,448,1651,41524,0.40625,0.4038389994787527,0.1630859375,0.3125,0.9375,0.625,0.625,0.0686,0.0686,0.20823680236935616,entropy,0.5921005606651306,True,7.890625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,103.1875,1.0,0.0,0.0,1.0,0,0.0
29,29,29,116,464,1030,42554,0.49375,0.392856128245443,0.1543359375,0.375,1.0,0.9375,0.9375,0.0368,0.0368,0.2173185795545578,entropy,0.1983916312456131,True,7.8125e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,64.375,1.0,0.0,0.0,1.0,3,0.75
30,30,30,120,480,1721,44275,0.278125,0.2778088090305993,0.077177734375,0.125,0.875,0.875,0.8125,0.0404,0.0404,0.3249472379684448,entropy,0.30194002389907837,True,7.734375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,107.5625,0.9375,0.0625,0.0,1.0,1,0.25
31,31,31,124,496,1995,46270,0.396875,0.411350196760619,0.169208984375,0.3125,0.6875,0.6875,0.5625,-0.0098,-0.0098,0.2490617297589779,entropy,0.4113802909851074,True,7.656250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,124.6875,0.9375,0.0625,0.0,1.0,1,0.25
