seed,run_id,update,cumulative_generated_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,policy_loss,value_loss,total_loss,entropy,kl,truncation_rate
123,ppo_formal_1p5b_seed123_20260720T043732Z,16,26236.0,0.178125,0.125,0.25,0.25,0.0009556226432323456,3.5699729919433594,0.3579529218375683,1.2442700862884521,0.0005680670728906989,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,17,28219.0,0.13125,0.0625,0.5,0.3125,0.0035748169757425785,3.0250024795532227,0.30607506493106484,0.8985558152198792,0.0005848282016813755,0.125
123,ppo_formal_1p5b_seed123_20260720T043732Z,18,29864.0,0.109375,0.0625,0.25,0.25,0.006187199614942074,3.6096749305725098,0.3671546926721931,1.0865641832351685,0.00048740682541392744,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,19,32157.0,0.121875,0.0625,0.3125,0.25,0.003738432191312313,3.4334986209869385,0.3470882942900062,0.6408763527870178,0.0006642865482717752,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,20,33288.0,0.2125,0.1875,0.3125,0.3125,0.005661444738507271,3.460494041442871,0.3517108488827944,1.2364110946655273,0.0003094230778515339,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,21,35100.0,0.196875,0.1875,0.25,0.1875,0.0032634264789521694,3.237222194671631,0.3269856459461153,1.1743886470794678,0.0004451603163033724,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,22,36684.0,0.528125,0.4375,0.875,0.8125,0.00010132230818271637,3.1444005966186523,0.314541381970048,1.059533953666687,0.0005537641700357199,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,23,38818.0,0.159375,0.125,0.25,0.25,0.004437456373125315,2.9298815727233887,0.2974256136454642,0.9280146360397339,0.0004624794819392264,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,24,40290.0,0.33125,0.25,0.5625,0.5625,0.008917806670069695,3.0307846069335938,0.3119962673634291,0.7458292841911316,0.0005856918869540095,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,25,41845.0,0.2,0.125,0.5,0.5,0.0012121479958295822,2.92960524559021,0.2941726725548506,1.3689475059509277,0.0004419551114551723,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,26,42944.0,0.3125,0.3125,0.3125,0.3125,0.001687333919107914,3.6273107528686523,0.3644184092059732,1.08315908908844,0.000766456127166748,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,27,44545.0,0.321875,0.25,0.5625,0.5625,0.004454652778804302,3.459446907043457,0.35039934348315005,1.0269768238067627,0.0004949409049004316,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,28,45894.0,0.246875,0.1875,0.5,0.375,-0.002612326294183731,3.0898780822753906,0.30637548193335534,1.4044466018676758,0.0006999776815064251,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,29,47549.0,0.25625,0.125,0.6875,0.6875,0.005078177899122238,3.074486494064331,0.31252682730555537,1.494619607925415,0.0005363692762330174,0.0625
123,ppo_formal_1p5b_seed123_20260720T043732Z,30,49220.0,0.225,0.1875,0.375,0.375,0.008866185322403908,3.660794734954834,0.37494565881788733,1.0530235767364502,0.0008619072032161057,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,31,50507.0,0.3875,0.3125,0.75,0.625,0.0005116676911711693,3.127854824066162,0.3132971500977874,0.9318774938583374,0.001181998522952199,0.0
123,ppo_formal_1p5b_seed123_20260720T043732Z,32,51969.0,0.196875,0.125,0.5,0.375,0.00472513772547245,3.5395925045013428,0.35868438817560677,1.2611528635025024,0.0006890376098453999,0.0
