algorithm,seed,run_id,update,training_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,native_entropy,native_entropy_comparable_across_algorithms,truncation_rate
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,27,42902.0,0.5,0.4375,0.75,0.75,0.24271098896861076,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,28,44088.0,0.29375,0.25,0.5625,0.375,0.2859594561159611,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,29,45796.0,0.325,0.1875,0.6875,0.6875,0.28697024285793304,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,30,47551.0,0.36875,0.3125,0.6875,0.5,0.23293489962816238,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,31,48996.0,0.51875,0.4375,0.9375,0.75,0.2241721823811531,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,32,50773.0,0.325,0.25,0.625,0.4375,0.2612311393022537,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,1,1803.0,0.196875,0.125,0.4375,0.4375,0.2863875888288021,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,2,3323.0,0.03125,0.0,0.0625,0.0625,0.2730042263865471,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,3,4866.0,0.26875,0.125,0.6875,0.625,0.26277900487184525,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,4,6514.0,0.553125,0.5,0.75,0.6875,0.26915353909134865,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,5,7899.0,0.17500000000000002,0.0625,0.625,0.4375,0.32875820621848106,False,0.0
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,6,9340.0,0.103125,0.0625,0.1875,0.1875,0.33677680790424347,False,0.0625
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,7,11829.0,0.1375,0.0625,0.375,0.375,0.2825857512652874,False,0.1875
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,8,13915.0,0.246875,0.1875,0.5,0.375,0.2893577739596367,False,0.0625
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,9,15527.0,0.08750000000000001,0.0,0.375,0.3125,0.27643291652202606,False,0.0625
grpo,123,grpo_formal_1p5b_seed123_20260720T035927Z,10,16724.0,0.396875,0.375,0.4375,0.4375,0.25652533769607544,False,0.0
